time,open,high,low,close,MA,Volume,Volume MA
1569290400,1.4776,1.4778,1.4739,1.4747,1.4762666666666613,538,532.5
1569304800,1.4745,1.4767,1.4732,1.4739,1.475933333333328,555,532.9
1569319200,1.4736,1.4741,1.4692,1.471,1.475333333333328,557,533.25
1569333600,1.4708,1.4728,1.4693,1.4709,1.4748555555555503,548,533.2
1569348000,1.4707,1.4718,1.4697,1.4706,1.474166666666661,507,531.35
1569362400,1.4704,1.4738,1.4697,1.4737,1.473833333333328,539,531.35
1569376800,1.4733,1.4749,1.4697,1.4745,1.4735777777777725,563,534.55
1569391200,1.4742,1.4762,1.4737,1.4751,1.4735666666666614,566,535.75
1569405600,1.4749,1.4817,1.4745,1.4815,1.4739888888888837,550,538.15
1569420000,1.4814,1.4835,1.4803,1.4806,1.474644444444439,546,537.7
1569434400,1.4803,1.4816,1.4796,1.4808,1.475411111111106,500,534.9
1569448800,1.4808,1.4819,1.479,1.4812,1.4765444444444393,518,533.25
1569463200,1.4811,1.4817,1.4781,1.4812,1.477688888888884,565,541.15
1569477600,1.481,1.4815,1.4788,1.4795,1.4786777777777727,551,541.75
1569492000,1.4793,1.4795,1.4746,1.4759,1.4789222222222171,556,543.3
1569506400,1.4758,1.4814,1.4758,1.4814,1.4796888888888837,568,544.15
1569520800,1.4811,1.4821,1.48,1.4817,1.4804222222222172,440,538.85
1569535200,1.4814,1.4825,1.4798,1.4812,1.4803888888888836,448,533.75
1569549600,1.481,1.481,1.4782,1.4788,1.4801888888888837,515,534.3
1569564000,1.4785,1.4804,1.4782,1.4795,1.4800444444444394,553,534.15
1569578400,1.4794,1.482,1.4771,1.4772,1.4795999999999951,554,534.95
1569592800,1.477,1.4804,1.475,1.4792,1.4793777777777728,570,535.7
1569607200,1.479,1.4793,1.4771,1.4777,1.4791777777777726,427,529.2
1569794400,1.4778,1.4803,1.477,1.4783,1.4794444444444392,532,528.4
1569808800,1.4781,1.4818,1.4778,1.4818,1.4794888888888837,520,529.05
1569823200,1.4816,1.4822,1.4794,1.4808,1.4793888888888838,552,529.7
1569837600,1.4806,1.4817,1.4785,1.479,1.4791444444444393,572,530.15
1569852000,1.4788,1.4831,1.478,1.4815,1.4794444444444395,570,530.35
1569866400,1.4812,1.4817,1.4804,1.4813,1.4796444444444397,491,527.4
1569880800,1.4812,1.4836,1.4792,1.4832,1.4803111111111062,516,525.9
1569895200,1.4828,1.491,1.4787,1.4907,1.481588888888884,553,528.55
1569909600,1.4904,1.4936,1.4901,1.4922,1.4831999999999952,574,531.35
1569924000,1.4919,1.4985,1.4909,1.4985,1.4854444444444397,574,531.8
1569938400,1.4982,1.4982,1.4911,1.492,1.486577777777773,571,532.8
1569952800,1.4918,1.4928,1.4908,1.4918,1.4877999999999953,501,530.05
1569967200,1.4916,1.4922,1.4884,1.4891,1.4889222222222174,556,529.45
